   0.0000000e+00   0.0000000e+00   7.0931000e+02   0.0000000e+00   0.0000000e+00   1.0000000e+00   1.5707963e+00   0.0000000e+00
   1.2124356e+01   0.0000000e+00   7.0931000e+02   0.0000000e+00   0.0000000e+00   1.0000000e+00   1.5707963e+00   0.0000000e+00
   6.0621778e+00   1.0500000e+01   7.0931000e+02   0.0000000e+00   0.0000000e+00   1.0000000e+00   1.5707963e+00   0.0000000e+00
  -6.0621778e+00   1.0500000e+01   7.0931000e+02   0.0000000e+00   0.0000000e+00   1.0000000e+00   1.5707963e+00   0.0000000e+00
  -1.2124356e+01   1.4848053e-15   7.0931000e+02   0.0000000e+00   0.0000000e+00   1.0000000e+00   1.5707963e+00   0.0000000e+00
  -6.0621778e+00  -1.0500000e+01   7.0931000e+02   0.0000000e+00   0.0000000e+00   1.0000000e+00   1.5707963e+00   0.0000000e+00
   6.0621778e+00  -1.0500000e+01   7.0931000e+02   0.0000000e+00   0.0000000e+00   1.0000000e+00   1.5707963e+00   0.0000000e+00
   3.0679687e+01   1.0627755e+01   7.0860158e+02   4.1213980e-02   1.4276942e-02   9.9904834e-01   1.2373232e+00   4.3630618e-02
   4.2793741e+01   1.0624187e+01   7.0810189e+02   4.1213980e-02   1.4276942e-02   9.9904834e-01   1.2373232e+00   4.3630618e-02
   3.6733623e+01   2.1124900e+01   7.0820183e+02   4.1213980e-02   1.4276942e-02   9.9904834e-01   1.2373232e+00   4.3630618e-02
   2.4619570e+01   2.1128469e+01   7.0870152e+02   4.1213980e-02   1.4276942e-02   9.9904834e-01   1.2373232e+00   4.3630618e-02
   1.8565633e+01   1.0631324e+01   7.0910127e+02   4.1213980e-02   1.4276942e-02   9.9904834e-01   1.2373232e+00   4.3630618e-02
   2.4625751e+01   1.3061030e-01   7.0900134e+02   4.1213980e-02   1.4276942e-02   9.9904834e-01   1.2373232e+00   4.3630618e-02
   3.6739804e+01   1.2704156e-01   7.0850164e+02   4.1213980e-02   1.4276942e-02   9.9904834e-01   1.2373232e+00   4.3630618e-02
   6.1359374e+00   3.1883266e+01   7.0860158e+02   8.2427961e-03   4.2830825e-02   9.9904834e-01   1.9012560e-01   4.3630618e-02
